WS-#,Site,Time,Date,pH,Notes,Type,deep C screen,Na-MP,Na mg/L,Mg-MP,Mg mg/L,Al-MP,Al mg/L,Si-MP,Si mg/L,P-MP,K-MP,K mg/L,Ca-MP,Ca mg/L,Mn-MP,Mn mg/L,Fe-MP,Fe mg/L,Zn-MP,Rb-MP,Sr-MP,Ba-MP,Pb-MP,F mg/L,Cl mg/L,NO3 mg/L,SO4 mg/L,DOC mg/L,TDN mg/L,NH4 mg N/L,Alm mg/L,Alo mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,E2A,,1-Apr-10,4.99,,1,,0.57,0.57,0.17,0.20,0.42,0.55,1.56,2.22,,0.03,0.08,0.36,0.56,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.31,0.53,2.32,4.37,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,E2A,,1-Oct-10,4.90,,1,,0.59,0.59,0.22,0.20,0.64,0.63,2.39,2.28,,0.12,0.10,0.76,0.69,0.02,0.02,0.01,0.02,,0.00,0.01,0.00,0.00,0.05,0.58,0.35,2.99,6.91,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,E2B,,10-Jul-09,4.46,,1,,0.67,,0.21,,0.51,,2.05,,,0.05,,0.70,,0.01,,0.02,,0.00,0.00,0.01,0.01,0.00,0.02,0.20,0.00,2.89,5.38,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,E2B,,1-Apr-10,4.89,,1,,0.53,0.53,0.20,0.18,0.71,0.69,1.93,2.13,,0.11,0.08,0.44,0.50,0.01,0.01,0.02,0.01,0.00,0.00,0.00,0.01,0.00,0.05,0.29,0.61,2.20,5.17,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,E2B,,1-Oct-10,4.74,,1,,0.52,0.49,0.18,0.16,0.90,0.87,2.38,2.13,,0.13,0.11,0.63,0.56,0.02,0.02,0.02,0.02,,0.00,0.00,0.01,0.00,0.06,0.59,0.57,2.94,8.55,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,E2C,,10-Jul-09,4.45,,1,,0.57,,0.18,,0.63,,1.80,,,0.05,,0.61,,0.01,,0.03,,0.01,0.00,0.00,0.01,0.00,0.03,0.23,0.00,2.79,5.97,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,E2C,,1-Apr-10,4.81,,1,,0.49,0.49,0.17,0.17,0.76,0.81,1.75,2.02,,0.09,0.07,0.37,0.42,0.01,0.01,0.02,0.01,0.00,0.00,0.00,0.01,0.00,0.03,0.30,0.71,2.16,5.50,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,E2C,,1-Oct-10,4.68,,1,,0.49,0.48,0.16,0.15,0.97,0.96,2.38,2.17,,0.11,0.09,0.54,0.49,0.02,0.01,0.03,0.02,,0.00,0.00,0.01,0.00,0.08,0.59,0.59,2.93,9.30,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,E2D,,10-Jul-09,4.76,,1,,0.59,,0.17,,0.69,,1.67,,,0.06,,0.63,,0.01,,0.02,,0.01,0.00,0.00,0.01,0.00,0.03,0.19,0.00,2.74,6.33,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,E2E,,10-Jul-09,4.35,,1,,0.47,,0.16,,0.81,,1.59,,,0.05,,0.60,,0.01,,0.05,,0.01,0.00,0.00,0.01,0.00,0.04,0.17,0.00,2.63,8.13,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,E2E,,1-Apr-10,4.74,,1,,0.46,0.47,0.16,0.16,0.93,1.05,1.61,1.92,,0.08,0.07,0.30,0.36,0.01,0.01,0.04,0.04,0.00,0.00,0.00,0.01,0.00,0.03,0.31,0.74,2.08,7.39,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,E2E,,1-Oct-10,4.58,,1,,0.48,0.50,0.16,0.14,1.47,1.02,2.98,2.25,,0.13,0.11,0.53,0.50,0.02,0.02,0.06,0.07,,0.00,0.00,0.01,0.00,0.05,0.61,0.74,2.98,11.53,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,E2F,,10-Jul-09,4.25,,1,,0.46,,0.13,,1.04,,1.73,,,0.04,,0.42,,0.01,,0.17,,0.01,0.00,0.00,0.01,0.00,0.03,0.19,0.00,2.39,11.08,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,E2F,,1-Apr-10,4.65,,1,,0.47,0.45,0.13,0.14,0.96,1.11,1.48,1.78,,0.06,0.09,0.21,0.28,0.01,0.01,0.10,0.16,0.00,0.00,0.00,0.00,0.00,0.02,0.32,0.50,1.94,9.76,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,E2F,,1-Oct-10,4.51,,1,,0.51,0.52,0.16,0.15,1.09,1.14,2.72,2.69,,0.06,0.05,0.45,0.45,0.02,0.02,0.19,0.20,,0.00,0.00,0.01,0.00,0.05,0.64,0.12,2.99,14.19,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,E2G,,10-Jul-09,4.23,,1,,0.46,,0.13,,1.01,,1.62,,,0.03,,0.40,,0.01,,0.07,,0.01,0.00,0.00,0.01,0.00,0.03,0.16,0.00,2.48,10.46,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,E2G,,1-Apr-10,4.57,,1,,0.46,0.47,0.13,0.13,1.06,1.11,1.63,1.78,,0.07,0.08,0.23,0.29,0.01,0.01,0.06,0.07,0.00,0.00,0.00,0.01,0.00,0.02,0.31,0.60,2.05,9.18,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,E2G,,1-Oct-10,4.80,,1,,0.46,0.47,0.14,0.13,1.02,1.11,2.36,2.42,,0.07,0.07,0.38,0.39,0.01,0.01,0.06,0.08,,0.00,0.00,0.01,0.00,0.04,0.60,0.79,2.97,12.42,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,E3A,,10-Jul-09,4.60,,1,,0.64,,0.17,,0.65,,1.76,,,0.06,,0.53,,0.01,,0.01,,0.01,0.00,0.00,0.01,0.00,0.03,0.24,0.00,2.85,4.53,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,E3A,,1-Apr-10,4.82,,1,,0.52,0.53,0.14,0.15,0.57,0.69,1.67,2.00,,0.05,0.10,0.27,0.37,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.30,0.72,2.25,4.30,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,E3A,,1-Oct-10,4.72,,1,,0.48,0.50,0.14,0.13,0.75,0.76,1.79,1.76,,0.10,0.12,0.41,0.41,0.02,0.02,0.01,0.02,,0.00,0.00,0.00,0.00,0.12,0.58,0.30,2.87,7.42,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,E3B,,10-Jul-09,4.45,,1,,0.58,,0.16,,0.68,,1.57,,,0.04,,0.44,,0.01,,0.01,,0.01,0.00,0.00,0.01,0.00,0.28,0.42,0.00,2.65,4.84,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,E3B,,1-Apr-10,4.79,,1,,0.48,0.50,0.15,0.16,0.74,0.75,1.73,1.96,,0.06,0.06,0.27,0.36,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.03,0.29,0.75,2.23,4.65,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,E3B,,1-Oct-10,4.70,,1,,0.47,0.45,0.14,0.12,0.76,0.75,1.81,1.68,,0.10,0.08,0.41,0.37,0.02,0.02,0.01,0.02,,0.00,0.00,0.00,0.00,0.05,0.59,0.33,2.93,7.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,E3C,,10-Jul-09,4.33,,1,,0.59,,0.17,,0.72,,1.59,,,0.05,,0.46,,0.01,,0.01,,0.01,0.00,0.00,0.01,0.00,0.04,0.23,0.00,2.77,4.72,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,E3C,,1-Oct-10,4.68,,1,,0.60,0.48,0.18,0.15,0.86,0.83,2.01,1.89,,0.23,0.11,0.47,0.42,0.04,0.03,0.03,0.02,,0.00,0.00,0.01,0.00,0.05,0.60,0.29,2.88,8.38,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,E3D,,10-Jul-09,4.35,,1,,0.59,,0.17,,0.71,,1.62,,,0.05,,0.45,,0.01,,0.01,,0.01,0.00,0.00,0.01,0.00,0.04,0.23,0.00,2.79,4.78,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,E3D,,1-Apr-10,4.79,,1,,0.53,0.47,0.16,0.15,0.66,0.72,1.59,1.80,,0.02,0.05,0.23,0.32,0.02,0.02,0.00,0.01,0.01,0.00,0.00,0.01,0.00,0.03,0.28,0.66,2.23,4.49,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,E3E,,10-Jul-09,4.39,,1,,0.55,,0.16,,0.77,,1.44,,,0.04,,0.41,,0.01,,0.01,,0.01,0.00,0.00,0.01,0.00,0.04,0.19,0.00,2.70,5.28,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,E3E,,1-Apr-10,4.78,,1,,0.60,0.47,0.18,0.16,0.82,0.81,1.75,1.78,,0.01,0.04,0.21,0.29,0.02,0.02,0.00,0.01,0.01,0.00,0.00,0.01,0.00,0.02,0.29,0.69,2.19,5.02,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,E3E,,1-Oct-10,4.66,,1,,0.49,0.44,0.17,0.14,0.83,0.79,1.95,1.74,,0.12,0.09,0.43,0.37,0.04,0.03,0.03,0.02,,0.00,0.00,0.01,0.00,0.05,0.63,0.21,2.90,9.25,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,E4A,,10-Jul-09,4.32,,1,,0.62,,0.15,,0.59,,1.65,,,0.06,,0.47,,0.01,,0.03,,0.01,0.00,0.00,0.01,0.00,0.04,0.22,0.00,2.46,6.34,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,E4A,,1-Apr-10,4.72,,1,,0.53,0.46,0.14,0.13,0.49,0.62,1.45,1.62,,0.06,0.10,0.23,0.33,0.02,0.02,0.01,0.03,0.01,0.00,0.00,0.01,0.00,0.02,0.28,0.33,2.01,5.66,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,E4A,,18-Jun-10,4.74,,1,,0.68,0.59,0.14,0.13,0.50,0.42,1.77,1.55,,0.07,0.06,0.40,0.41,0.01,0.01,0.03,0.02,0.01,0.00,0.00,0.01,0.00,0.01,0.37,0.01,2.92,5.26,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,E4A,,1-Oct-10,4.51,,1,,0.48,0.48,0.13,0.13,0.76,0.82,1.49,1.50,,0.14,0.13,0.44,0.43,0.03,0.03,0.08,0.09,,0.00,0.00,0.01,0.00,0.05,0.71,0.05,2.72,12.60,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,E4A,10:25,29-Oct-12,4.73,,1,,0.57,0.64,0.11,0.13,0.44,0.49,1.94,2.24,0.00,0.09,0.08,0.31,0.34,0.02,0.02,0.01,0.02,0.01,0.00,0.00,0.01,0.00,0.02,0.48,0.12,2.42,5.88,0.20,-0.002,0.248,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,E4A,12:25,30-Oct-12,4.76,,1,,0.60,0.62,0.13,0.16,0.50,0.61,1.91,2.19,0.00,0.15,0.18,0.32,0.36,0.03,0.03,0.01,0.04,0.01,0.00,0.00,0.01,0.00,0.02,0.61,0.13,2.45,8.09,0.24,0.001,0.364,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,E4A,10:00,12-Mar-13,4.67,,1,,,0.68,,0.20,,0.52,,1.97,,,0.14,,0.35,,0.03,,0.05,,,,,,0.04,0.85,1.42,2.92,5.05,0.48,0.008,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,E4A,21:00,12-Mar-13,,isco rising limb,1,,,0.53,,0.17,,0.55,,1.70,,,0.32,,0.45,,0.03,,0.05,,,,,,0.10,0.58,1.92,1.88,,,0.043,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,E4A,22:00,12-Mar-13,5.80,pH suspect,1,,0.59,0.52,0.18,0.16,0.58,0.53,1.64,1.66,,0.33,0.30,0.43,0.43,0.04,0.03,0.03,0.05,,0.00,0.00,0.01,,0.06,0.63,1.92,1.99,,,0.058,0.329,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,E4A,0:00,13-Mar-13,,isco rising limb,1,,,0.57,,0.18,,0.54,,1.70,,,0.25,,0.39,,0.03,,0.05,,,,,,0.05,0.78,1.79,1.95,,,0.032,0.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,E4A,5:00,13-Mar-13,,isco rising limb,1,,,0.53,,0.15,,0.50,,1.75,,,0.18,,0.37,,0.03,,0.02,,,,,,0.04,0.58,1.68,2.02,,,0.112,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,E4A,9:00,13-Mar-13,,isco rising limb,1,,,0.53,,0.15,,0.55,,1.78,,,0.16,,0.36,,0.03,,0.02,,,,,,0.04,0.57,1.68,2.16,,,0.016,0.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,E4A,11:00,13-Mar-13,4.58,,1,,,0.53,,0.14,,0.63,,1.70,,,0.13,,0.29,,0.02,,0.07,,,,,,0.04,0.67,1.48,2.15,7.24,0.50,0.003,0.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,E4B,,10-Jul-09,4.34,,1,,0.65,,0.15,,0.62,,1.76,,,0.06,,0.43,,0.01,,0.04,,0.01,0.00,0.00,0.01,0.00,0.03,0.19,0.00,2.43,6.68,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,E4B,,1-Apr-10,4.68,,1,,0.53,0.46,0.14,0.13,0.50,0.57,1.44,1.62,,0.08,0.10,0.22,0.32,0.02,0.02,0.01,0.03,0.01,0.00,0.00,0.01,0.00,0.04,0.26,0.30,1.87,5.86,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,E4B,,18-Jun-10,4.64,,1,,0.71,0.66,0.15,0.13,0.50,0.41,1.97,1.64,,0.06,0.11,0.39,0.34,0.01,0.01,0.04,0.02,0.01,0.00,0.00,0.01,0.00,0.02,0.35,0.02,2.93,5.38,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,E4B,,1-Oct-10,4.47,,1,,0.46,0.47,0.13,0.13,0.73,0.81,1.42,1.48,,0.12,0.12,0.42,0.43,0.03,0.03,0.09,0.10,,0.00,0.00,0.00,0.00,0.05,0.72,0.04,2.67,13.05,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
